START。。。


行           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79
第  0列 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 252,252,252 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 252,252,252 252,252,252 252,252,252 253,253,253 253,253,253 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 
第  1列 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 252,252,252 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 252,252,252 252,252,252 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 
第  2列 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 252,252,252 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 252,252,252 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 
第  3列 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 252,252,252 252,252,252 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 
第  4列 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 253,253,253 253,253,253 252,252,252 252,252,252 251,251,251 252,252,252 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 253,253,253 253,253,253 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 
第  5列 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 253,253,253 253,253,253 252,252,252 251,251,251 251,251,251 251,251,251 252,252,252 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 
第  6列 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 253,253,253 253,253,253 252,252,252 251,251,251 250,250,250 250,250,250 252,252,252 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 
第  7列 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 253,253,253 252,252,252 251,251,251 251,251,251 250,250,250 249,249,249 252,252,252 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 
第  8列 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 254,254,254 253,253,253 252,252,252 252,252,252 252,252,252 252,252,252 253,253,253 250,250,250 250,250,250 249,249,249 254,254,254 255,255,255 252,252,252 247,247,247 255,255,255 254,254,254 255,255,255 255,255,255 254,254,254 252,252,252 251,251,251 254,254,254 255,255,255 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 
第  9列 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 255,255,255 254,254,254 253,253,253 252,252,252 252,252,252 252,252,252 252,252,252 253,253,253 255,255,255 255,255,255 255,255,255 248,248,248 246,246,246 254,254,254 255,255,255 252,252,252 252,252,252 253,253,253 254,254,254 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 254,254,254 
